event_id,request_id,author_approval_id,event_type,event_timestamp,actor_role,approval_method,comments
EVT-0001-01,REQ-0001,,draft,2026-04-24T00:00:00,managing-editor,,Synthetic lifecycle event 1
EVT-0001-02,REQ-0001,,ready-to-send,2026-04-26T00:00:00,managing-editor,,Synthetic lifecycle event 2
EVT-0001-03,REQ-0001,,sent,2026-04-28T00:00:00,author,,Synthetic lifecycle event 3
EVT-0001-04,REQ-0001,,approved,2026-05-10T00:00:00,author,checkbox-attestation,Synthetic lifecycle event 4
EVT-0001-05,REQ-0001,,generated,2026-05-12T00:00:00,author,,Synthetic lifecycle event 5
EVT-0001-A01-author-sent,REQ-0001,AUT-0001-01,author-sent,2026-04-28T00:00:00,system,,Synthetic author-level event
EVT-0001-A01-author-approved,REQ-0001,AUT-0001-01,author-approved,2026-05-05T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0001-A02-author-sent,REQ-0001,AUT-0001-02,author-sent,2026-04-28T00:00:00,system,,Synthetic author-level event
EVT-0001-A02-author-approved,REQ-0001,AUT-0001-02,author-approved,2026-05-06T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0001-A03-author-sent,REQ-0001,AUT-0001-03,author-sent,2026-04-28T00:00:00,system,,Synthetic author-level event
EVT-0001-A03-author-approved,REQ-0001,AUT-0001-03,author-approved,2026-05-07T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0001-A04-author-sent,REQ-0001,AUT-0001-04,author-sent,2026-04-28T00:00:00,system,,Synthetic author-level event
EVT-0001-A04-author-approved,REQ-0001,AUT-0001-04,author-approved,2026-05-08T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0002-01,REQ-0002,,draft,2026-04-28T00:00:00,managing-editor,,Synthetic lifecycle event 1
EVT-0002-02,REQ-0002,,ready-to-send,2026-04-30T00:00:00,managing-editor,,Synthetic lifecycle event 2
EVT-0002-03,REQ-0002,,sent,2026-05-02T00:00:00,author,,Synthetic lifecycle event 3
EVT-0002-04,REQ-0002,,partially-approved,2026-05-09T00:00:00,author,,Synthetic lifecycle event 4
EVT-0002-A01-author-sent,REQ-0002,AUT-0002-01,author-sent,2026-05-02T00:00:00,system,,Synthetic author-level event
EVT-0002-A01-author-approved,REQ-0002,AUT-0002-01,author-approved,2026-05-09T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0002-A02-author-sent,REQ-0002,AUT-0002-02,author-sent,2026-05-02T00:00:00,system,,Synthetic author-level event
EVT-0002-A02-author-approved,REQ-0002,AUT-0002-02,author-approved,2026-05-10T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0002-A03-author-sent,REQ-0002,AUT-0002-03,author-sent,2026-05-02T00:00:00,system,,Synthetic author-level event
EVT-0002-A03-author-approved,REQ-0002,AUT-0002-03,author-approved,2026-05-11T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0002-A04-author-sent,REQ-0002,AUT-0002-04,author-sent,2026-05-02T00:00:00,system,,Synthetic author-level event
EVT-0002-A05-author-sent,REQ-0002,AUT-0002-05,author-sent,2026-05-02T00:00:00,system,,Synthetic author-level event
EVT-0003-01,REQ-0003,,draft,2026-05-02T00:00:00,managing-editor,,Synthetic lifecycle event 1
EVT-0003-02,REQ-0003,,ready-to-send,2026-05-04T00:00:00,managing-editor,,Synthetic lifecycle event 2
EVT-0003-03,REQ-0003,,sent,2026-05-06T00:00:00,author,,Synthetic lifecycle event 3
EVT-0003-A01-author-sent,REQ-0003,AUT-0003-01,author-sent,2026-05-06T00:00:00,system,,Synthetic author-level event
EVT-0003-A02-author-sent,REQ-0003,AUT-0003-02,author-sent,2026-05-06T00:00:00,system,,Synthetic author-level event
EVT-0003-A03-author-sent,REQ-0003,AUT-0003-03,author-sent,2026-05-06T00:00:00,system,,Synthetic author-level event
EVT-0004-01,REQ-0004,,draft,2026-05-06T00:00:00,managing-editor,,Synthetic lifecycle event 1
EVT-0004-02,REQ-0004,,ready-to-send,2026-05-08T00:00:00,managing-editor,,Synthetic lifecycle event 2
EVT-0004-03,REQ-0004,,cancelled,2026-05-09T00:00:00,author,,Synthetic lifecycle event 3
EVT-0005-01,REQ-0005,,draft,2026-05-10T00:00:00,managing-editor,,Synthetic lifecycle event 1
EVT-0005-02,REQ-0005,,ready-to-send,2026-05-12T00:00:00,managing-editor,,Synthetic lifecycle event 2
EVT-0005-03,REQ-0005,,sent,2026-05-14T00:00:00,author,,Synthetic lifecycle event 3
EVT-0005-04,REQ-0005,,partially-approved,2026-05-21T00:00:00,author,,Synthetic lifecycle event 4
EVT-0005-05,REQ-0005,,approved,2026-05-26T00:00:00,author,checkbox-attestation,Synthetic lifecycle event 5
EVT-0005-06,REQ-0005,,generated,2026-05-28T00:00:00,author,,Synthetic lifecycle event 6
EVT-0005-07,REQ-0005,,submitted,2026-05-30T00:00:00,author,,Synthetic lifecycle event 7
EVT-0005-A01-author-sent,REQ-0005,AUT-0005-01,author-sent,2026-05-14T00:00:00,system,,Synthetic author-level event
EVT-0005-A01-author-approved,REQ-0005,AUT-0005-01,author-approved,2026-05-21T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0005-A02-author-sent,REQ-0005,AUT-0005-02,author-sent,2026-05-14T00:00:00,system,,Synthetic author-level event
EVT-0005-A02-author-approved,REQ-0005,AUT-0005-02,author-approved,2026-05-22T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0005-A03-author-sent,REQ-0005,AUT-0005-03,author-sent,2026-05-14T00:00:00,system,,Synthetic author-level event
EVT-0005-A03-author-approved,REQ-0005,AUT-0005-03,author-approved,2026-05-23T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0005-A04-author-sent,REQ-0005,AUT-0005-04,author-sent,2026-05-14T00:00:00,system,,Synthetic author-level event
EVT-0005-A04-author-approved,REQ-0005,AUT-0005-04,author-approved,2026-05-24T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0005-A05-author-sent,REQ-0005,AUT-0005-05,author-sent,2026-05-14T00:00:00,system,,Synthetic author-level event
EVT-0005-A05-author-approved,REQ-0005,AUT-0005-05,author-approved,2026-05-25T00:00:00,author,checkbox-attestation,Synthetic author-level event
EVT-0006-01,REQ-0006,,draft,2026-05-14T00:00:00,managing-editor,,Synthetic lifecycle event 1
EVT-0006-02,REQ-0006,,ready-to-send,2026-05-16T00:00:00,managing-editor,,Synthetic lifecycle event 2
