author_approval_id,request_id,author_name,author_role,display_order,approval_status,date_sent,date_approved,last_reminder_sent,reminder_due
AUT-0001-01,REQ-0001,Demo Author 03,contact author,1,approved,2026-04-28,2026-05-05,,
AUT-0001-02,REQ-0001,Demo Author 04,co-author,2,approved,2026-04-28,2026-05-06,,
AUT-0001-03,REQ-0001,Demo Author 05,co-author,3,approved,2026-04-28,2026-05-07,,
AUT-0001-04,REQ-0001,Demo Author 06,co-author,4,approved,2026-04-28,2026-05-08,,
AUT-0002-01,REQ-0002,Demo Author 04,contact author,1,approved,2026-05-02,2026-05-09,,
AUT-0002-02,REQ-0002,Demo Author 05,co-author,2,approved,2026-05-02,2026-05-10,,
AUT-0002-03,REQ-0002,Demo Author 06,co-author,3,approved,2026-05-02,2026-05-11,,
AUT-0002-04,REQ-0002,Demo Author 07,co-author,4,sent,2026-05-02,,2026-05-16,2026-05-23
AUT-0002-05,REQ-0002,Demo Author 08,co-author,5,sent,2026-05-02,,2026-05-16,2026-05-23
AUT-0003-01,REQ-0003,Demo Author 05,contact author,1,sent,2026-05-06,,2026-05-20,2026-05-27
AUT-0003-02,REQ-0003,Demo Author 06,co-author,2,sent,2026-05-06,,2026-05-20,2026-05-27
AUT-0003-03,REQ-0003,Demo Author 07,co-author,3,sent,2026-05-06,,2026-05-20,2026-05-27
AUT-0004-01,REQ-0004,Demo Author 06,contact author,1,pending,,,,
AUT-0004-02,REQ-0004,Demo Author 07,co-author,2,pending,,,,
AUT-0004-03,REQ-0004,Demo Author 08,co-author,3,pending,,,,
AUT-0004-04,REQ-0004,Demo Author 09,co-author,4,pending,,,,
AUT-0005-01,REQ-0005,Demo Author 07,contact author,1,approved,2026-05-14,2026-05-21,,
AUT-0005-02,REQ-0005,Demo Author 08,co-author,2,approved,2026-05-14,2026-05-22,,
AUT-0005-03,REQ-0005,Demo Author 09,co-author,3,approved,2026-05-14,2026-05-23,,
AUT-0005-04,REQ-0005,Demo Author 10,co-author,4,approved,2026-05-14,2026-05-24,,
AUT-0005-05,REQ-0005,Demo Author 11,co-author,5,approved,2026-05-14,2026-05-25,,
AUT-0006-01,REQ-0006,Demo Author 08,contact author,1,approved,2026-05-18,2026-05-25,,
AUT-0006-02,REQ-0006,Demo Author 09,co-author,2,approved,2026-05-18,2026-05-26,,
AUT-0006-03,REQ-0006,Demo Author 10,co-author,3,approved,2026-05-18,2026-05-27,,
AUT-0007-01,REQ-0007,Demo Author 09,contact author,1,approved,2026-05-22,2026-05-29,,
AUT-0007-02,REQ-0007,Demo Author 10,co-author,2,approved,2026-05-22,2026-05-30,,
AUT-0007-03,REQ-0007,Demo Author 11,co-author,3,sent,2026-05-22,,2026-06-05,2026-06-12
AUT-0007-04,REQ-0007,Demo Author 12,co-author,4,sent,2026-05-22,,2026-06-05,2026-06-12
AUT-0008-01,REQ-0008,Demo Author 10,contact author,1,sent,2026-05-26,,2026-06-09,2026-06-16
AUT-0008-02,REQ-0008,Demo Author 11,co-author,2,sent,2026-05-26,,2026-06-09,2026-06-16
AUT-0008-03,REQ-0008,Demo Author 12,co-author,3,sent,2026-05-26,,2026-06-09,2026-06-16
AUT-0008-04,REQ-0008,Demo Author 01,co-author,4,sent,2026-05-26,,2026-06-09,2026-06-16
AUT-0008-05,REQ-0008,Demo Author 02,co-author,5,sent,2026-05-26,,2026-06-09,2026-06-16
AUT-0009-01,REQ-0009,Demo Author 11,contact author,1,pending,,,,
AUT-0009-02,REQ-0009,Demo Author 12,co-author,2,pending,,,,
AUT-0009-03,REQ-0009,Demo Author 01,co-author,3,pending,,,,
AUT-0010-01,REQ-0010,Demo Author 12,contact author,1,approved,2026-06-03,2026-06-10,,
AUT-0010-02,REQ-0010,Demo Author 01,co-author,2,approved,2026-06-03,2026-06-11,,
AUT-0010-03,REQ-0010,Demo Author 02,co-author,3,approved,2026-06-03,2026-06-12,,
AUT-0010-04,REQ-0010,Demo Author 03,co-author,4,approved,2026-06-03,2026-06-13,,
AUT-0011-01,REQ-0011,Demo Author 01,contact author,1,approved,2026-06-07,2026-06-14,,
AUT-0011-02,REQ-0011,Demo Author 02,co-author,2,approved,2026-06-07,2026-06-15,,
AUT-0011-03,REQ-0011,Demo Author 03,co-author,3,approved,2026-06-07,2026-06-16,,
AUT-0011-04,REQ-0011,Demo Author 04,co-author,4,approved,2026-06-07,2026-06-17,,
AUT-0011-05,REQ-0011,Demo Author 05,co-author,5,approved,2026-06-07,2026-06-18,,
AUT-0012-01,REQ-0012,Demo Author 02,contact author,1,approved,2026-06-11,2026-06-18,,
AUT-0012-02,REQ-0012,Demo Author 03,co-author,2,sent,2026-06-11,,2026-06-25,2026-07-02
AUT-0012-03,REQ-0012,Demo Author 04,co-author,3,sent,2026-06-11,,2026-06-25,2026-07-02
